#Cal 200.0
#all 6.4 g. 
0	0
1	6.4
2	12.7
3	19.2
4	25.5
5	31.9
6	38.3
7	44.7
8	51.1
9	57.5
10	63.9
11	70.3
12	76.6
13	83.0
14	89.4
15	95.8
16	102.1
17	108.6
18	115.0
19	121.4
20	127.7
21	134.1
22	140.6
23	146.9
24	153.3
25	159.7
26	166.1
27	172.5
28	178.8
29	185.3
30	191.6
31	197.9
32	204.4
33	210.8
34	217.2
35	223.5
36	229.9
37	236.3
38	242.7
39	249.1
40	255.5
41	261.9
42	268.3
43	274.7
44	281.1
45	287.5
46	293.8
47	300.3
48	306.6
49	313.0
50	319.4
51	325.8
52	332.2
53	338.6
54	345.0
55	351.4
56	357.7
57	364.1
58	370.5
59	376.9
60	383.3
61	389.7
62	396.1
61	389.7
60	383.3
59	376.9
58	370.5
57	364.2
56	357.7
55	351.4
54	345.0
53	338.6
52	332.2
51	325.8
50	319.5
49	313.0
48	306.7
47	300.3
46	293.9
45	287.5
44	281.1
43	274.7
42	268.4
41	262.0
40	255.6
39	249.2
38	242.8
37	236.4
36	230.0
35	223.6
34	217.2
33	210.8
32	204.4
31	198.1
30	191.7
29	185.3
28	178.9
27	172.5
26	166.1
25	159.7
24	153.3
23	147.0
22	140.6
21	134.2
20	127.8
19	121.4
18	115.0
17	108.6
16	102.2
15	95.9
14	89.5
13	83.0
12	76.7
11	70.3
10	63.9
9	57.6
8	51.2
7	44.7
6	38.3
5	31.9
4	25.6
3	19.2
2	12.8
1	6.4
0	0.0
